matchNo,Date,Time,Team1,Team2,Score1,Score2
1,16.05.2019,22:30,Al-Taawon,Al-Faisaly,2,1
2,16.05.2019,22:30,Al Ahli SC,Al-Ettifaq,5,0
3,16.05.2019,22:30,Al-Hilal,Al-Shabab,3,2
4,16.05.2019,22:30,Al-Fateh,Al-Raed,0,4
5,16.05.2019,22:30,Al Feiha,Al Wehda,5,2
6,16.05.2019,22:30,Al-Nassr,Al Batin,2,1
7,16.05.2019,22:30,Al Qadisiya,Al-Hazem,2,2
8,16.05.2019,22:30,Ohod,Al-Ittihad FC,1,0
9,11.05.2019,22:30,Al-Shabab,Al-Taawon,0,0
10,11.05.2019,22:30,Al-Raed,Al Feiha,0,0
11,11.05.2019,22:30,Al-Faisaly,Al Ahli SC,1,4
12,11.05.2019,22:30,Al-Ettifaq,Al-Hilal,0,1
13,11.05.2019,22:30,Al Batin,Ohod,0,1
14,11.05.2019,22:30,Al-Hazem,Al-Nassr,0,3
15,11.05.2019,22:30,Al-Ittihad FC,Al-Fateh,6,2
16,11.05.2019,22:30,Al Wehda,Al Qadisiya,4,0
17,29.04.2019,19:00,Al-Hilal,Al-Taawon,0,2
18,20.04.2019,20:30,Al Feiha,Al-Faisaly,3,4
19,20.04.2019,18:55,Al-Shabab,Al-Hazem,2,0
20,19.04.2019,20:45,Al Ahli SC,Al Wehda,3,2
21,19.04.2019,20:30,Al-Raed,Ohod,5,1
22,19.04.2019,18:45,Al Qadisiya,Al Batin,0,2
23,18.04.2019,20:45,Al-Nassr,Al-Fateh,5,0
24,18.04.2019,20:45,Al-Ittihad FC,Al-Ettifaq,2,0
25,13.04.2019,18:50,Al-Nassr,Al-Ittihad FC,2,3
26,12.04.2019,20:45,Al Wehda,Al-Faisaly,1,2
27,12.04.2019,20:45,Al Ahli SC,Al-Hilal,0,1
28,12.04.2019,19:20,Ohod,Al Feiha,1,3
29,12.04.2019,19:05,Al-Taawon,Al Qadisiya,2,0
30,11.04.2019,20:30,Al-Hazem,Al-Raed,1,0
31,11.04.2019,19:00,Al Batin,Al-Shabab,1,2
32,11.04.2019,18:40,Al-Ettifaq,Al-Fateh,0,0
33,06.04.2019,20:45,Al Wehda,Al-Ettifaq,3,1
34,06.04.2019,18:55,Al Feiha,Al-Taawon,2,1
35,05.04.2019,20:45,Al-Ittihad FC,Al Batin,4,1
36,05.04.2019,20:45,Al-Shabab,Al Ahli SC,0,4
37,05.04.2019,18:55,Al-Faisaly,Al-Fateh,1,1
38,05.04.2019,18:35,Al Qadisiya,Ohod,4,2
39,04.04.2019,20:45,Al-Hazem,Al-Hilal,2,3
40,04.04.2019,19:00,Al-Raed,Al-Nassr,0,5
41,01.04.2019,18:55,Al Feiha,Al Ahli SC,0,2
42,30.03.2019,19:15,Ohod,Al-Shabab,1,2
43,29.03.2019,20:40,Al-Nassr,Al-Hilal,3,2
44,29.03.2019,18:55,Al-Faisaly,Al-Ittihad FC,3,2
45,28.03.2019,20:40,Al Ahli SC,Al-Raed,4,5
46,28.03.2019,20:30,Al-Ettifaq,Al Qadisiya,3,2
47,28.03.2019,19:00,Al-Taawon,Al Wehda,1,0
48,28.03.2019,18:55,Al Feiha,Al Batin,2,1
49,28.03.2019,16:00,Al-Hazem,Al-Fateh,1,0
50,23.03.2019,20:05,Al-Hilal,Ohod,0,0
51,16.03.2019,20:30,Al Wehda,Al-Nassr,0,4
52,16.03.2019,16:00,Al-Hazem,Al-Ittihad FC,0,3
53,15.03.2019,20:00,Al-Ettifaq,Al-Shabab,1,1
54,15.03.2019,16:00,Al-Raed,Al Batin,1,0
55,14.03.2019,20:15,Al-Taawon,Al-Fateh,1,1
56,14.03.2019,18:45,Al-Faisaly,Al Qadisiya,3,0
57,09.03.2019,16:00,Al-Hazem,Ohod,2,2
58,09.03.2019,15:40,Al-Fateh,Al Batin,0,2
59,08.03.2019,20:30,Al-Hilal,Al Wehda,1,1
60,08.03.2019,20:30,Al-Ittihad FC,Al Feiha,2,0
61,08.03.2019,18:40,Al-Nassr,Al-Ettifaq,3,2
62,08.03.2019,15:40,Al Qadisiya,Al Ahli SC,1,2
63,07.03.2019,20:30,Al-Taawon,Al-Raed,2,1
64,07.03.2019,18:40,Al-Shabab,Al-Faisaly,2,1
65,02.03.2019,16:00,Al-Hazem,Al Feiha,0,1
66,02.03.2019,15:50,Al Batin,Al Wehda,1,1
67,01.03.2019,20:30,Al Ahli SC,Al-Ittihad FC,1,1
68,01.03.2019,18:35,Al-Hilal,Al-Faisaly,2,1
69,01.03.2019,16:00,Al-Raed,Al Qadisiya,0,0
70,28.02.2019,20:30,Al-Shabab,Al-Nassr,0,1
71,28.02.2019,19:05,Ohod,Al-Fateh,0,0
72,28.02.2019,16:00,Al-Taawon,Al-Ettifaq,4,1
73,23.02.2019,20:25,Al-Nassr,Al Feiha,1,0
74,23.02.2019,15:55,Al-Raed,Al-Faisaly,0,3
75,22.02.2019,20:25,Al Wehda,Ohod,4,1
76,22.02.2019,18:15,Al Qadisiya,Al-Shabab,0,1
77,22.02.2019,15:55,Al-Taawon,Al Batin,4,1
78,21.02.2019,20:25,Al-Ittihad FC,Al-Hilal,0,2
79,21.02.2019,15:55,Al-Hazem,Al-Ettifaq,1,1
80,20.02.2019,18:20,Al-Fateh,Al Ahli SC,2,1
81,15.02.2019,20:20,Al-Raed,Al-Ittihad FC,1,1
82,15.02.2019,18:30,Al-Shabab,Al Wehda,1,0
83,14.02.2019,18:35,Al-Taawon,Ohod,4,0
84,14.02.2019,15:45,Al Feiha,Al-Fateh,1,2
85,13.02.2019,18:10,Al-Ettifaq,Al-Faisaly,3,4
86,13.02.2019,15:50,Al-Hazem,Al Batin,1,0
87,12.02.2019,20:20,Al Ahli SC,Al-Nassr,1,2
88,12.02.2019,18:25,Al-Hilal,Al Qadisiya,4,1
89,09.02.2019,20:15,Al-Ittihad FC,Al-Taawon,0,0
90,09.02.2019,18:10,Al-Fateh,Al-Shabab,1,0
91,09.02.2019,15:50,Al-Raed,Al Wehda,1,3
92,08.02.2019,20:15,Al Batin,Al-Hilal,2,3
93,08.02.2019,15:45,Al Feiha,Al-Ettifaq,1,1
94,07.02.2019,20:15,Al-Hazem,Al Ahli SC,2,4
95,07.02.2019,18:50,Ohod,Al-Faisaly,4,1
96,06.02.2019,20:15,Al-Nassr,Al Qadisiya,3,1
97,04.02.2019,20:15,Al Wehda,Al-Ittihad FC,0,2
98,04.02.2019,18:25,Al-Shabab,Al-Raed,1,1
99,04.02.2019,18:20,Al-Hilal,Al-Fateh,4,1
100,03.02.2019,20:15,Ohod,Al-Ettifaq,2,1
101,03.02.2019,15:40,Al-Faisaly,Al-Hazem,1,2
102,02.02.2019,20:15,Al-Taawon,Al-Nassr,3,1
103,02.02.2019,18:15,Al Batin,Al Ahli SC,1,2
104,02.02.2019,15:20,Al Qadisiya,Al Feiha,2,0
105,29.01.2019,20:20,Al-Ittihad FC,Al-Shabab,0,0
106,29.01.2019,18:25,Al-Raed,Al-Ettifaq,1,2
107,28.01.2019,20:20,Al-Taawon,Al Ahli SC,3,4
108,28.01.2019,18:50,Al Wehda,Al-Hazem,1,1
109,28.01.2019,18:20,Al-Nassr,Ohod,4,0
110,28.01.2019,15:30,Al Batin,Al-Faisaly,2,0
111,27.01.2019,18:20,Al Feiha,Al-Hilal,1,5
112,27.01.2019,15:20,Al-Fateh,Al Qadisiya,2,0
113,11.01.2019,18:35,Al Ahli SC,Ohod,5,1
114,11.01.2019,15:30,Al Batin,Al-Ettifaq,0,0
115,11.01.2019,15:25,Al-Hilal,Al-Raed,1,1
116,11.01.2019,15:25,Al-Shabab,Al Feiha,4,1
117,10.01.2019,19:50,Al Qadisiya,Al-Ittihad FC,0,1
118,10.01.2019,18:35,Al Wehda,Al-Fateh,1,0
119,10.01.2019,18:10,Al-Taawon,Al-Hazem,1,1
120,10.01.2019,18:05,Al-Faisaly,Al-Nassr,2,2
121,30.12.2018,18:00,Al-Taawon,Al-Hilal,2,2
122,30.12.2018,15:45,Ohod,Al-Raed,0,1
123,29.12.2018,17:35,Al-Ettifaq,Al-Ittihad FC,1,0
124,28.12.2018,18:30,Al Wehda,Al Ahli SC,2,1
125,28.12.2018,15:20,Al-Hazem,Al-Shabab,1,3
126,28.12.2018,15:00,Al-Fateh,Al-Nassr,0,0
127,27.12.2018,17:55,Al-Faisaly,Al Feiha,1,0
128,27.12.2018,17:45,Al Batin,Al Qadisiya,2,0
129,25.12.2018,18:00,Al-Raed,Al-Taawon,2,1
130,22.12.2018,15:15,Al Feiha,Ohod,3,0
131,21.12.2018,18:25,Al-Ittihad FC,Al-Nassr,1,2
132,21.12.2018,17:30,Al-Fateh,Al-Ettifaq,0,0
133,21.12.2018,17:30,Al Qadisiya,Al-Taawon,3,1
134,21.12.2018,15:10,Al-Shabab,Al Batin,4,0
135,21.12.2018,15:10,Al-Hilal,Al Ahli SC,4,3
136,20.12.2018,17:50,Al-Faisaly,Al Wehda,3,0
137,20.12.2018,15:20,Al-Raed,Al-Hazem,1,0
138,17.12.2018,18:20,Ohod,Al Qadisiya,1,3
139,15.12.2018,18:25,Al Ahli SC,Al-Shabab,0,1
140,15.12.2018,15:05,Al-Hilal,Al-Hazem,1,2
141,14.12.2018,17:45,Al Batin,Al-Ittihad FC,1,3
142,14.12.2018,15:15,Al-Taawon,Al Feiha,3,0
143,14.12.2018,15:05,Al-Nassr,Al-Raed,4,0
144,13.12.2018,17:30,Al-Ettifaq,Al Wehda,2,1
145,13.12.2018,17:30,Al-Fateh,Al-Faisaly,1,1
146,12.12.2018,18:20,Ohod,Al-Hilal,0,1
147,08.12.2018,17:50,Al-Raed,Al Ahli SC,0,0
148,08.12.2018,17:30,Al-Fateh,Al-Hazem,3,2
149,08.12.2018,15:05,Al-Hilal,Al-Nassr,2,2
150,07.12.2018,18:20,Al Wehda,Al-Taawon,0,1
151,06.12.2018,19:40,Al-Ittihad FC,Al-Faisaly,1,2
152,06.12.2018,17:45,Al-Shabab,Ohod,1,0
153,06.12.2018,17:25,Al Qadisiya,Al-Ettifaq,2,0
154,06.12.2018,15:00,Al Batin,Al Feiha,1,0
155,02.12.2018,18:15,Al-Ittihad FC,Al-Hazem,2,2
156,02.12.2018,17:45,Al-Nassr,Al Wehda,1,2
157,01.12.2018,17:40,Al Batin,Al-Raed,1,3
158,01.12.2018,17:25,Al-Fateh,Al-Taawon,0,2
159,30.11.2018,18:30,Al Ahli SC,Al Feiha,1,1
160,30.11.2018,17:25,Al Qadisiya,Al-Faisaly,1,1
161,29.11.2018,17:45,Al-Shabab,Al-Ettifaq,2,2
162,25.11.2018,19:40,Al-Ittihad FC,Al Ahli SC,1,3
163,24.11.2018,17:50,Al-Faisaly,Al-Hilal,1,1
164,24.11.2018,17:30,Al-Ettifaq,Al-Taawon,2,4
165,23.11.2018,19:40,Al-Nassr,Al-Shabab,1,0
166,23.11.2018,17:30,Al Qadisiya,Al-Raed,3,1
167,22.11.2018,18:20,Al Wehda,Al Batin,1,0
168,22.11.2018,17:50,Al Feiha,Al-Hazem,1,1
169,22.11.2018,14:45,Al-Fateh,Ohod,4,0
170,11.11.2018,20:15,Al-Ettifaq,Al-Nassr,1,2
171,11.11.2018,18:20,Al Wehda,Al-Hilal,0,3
172,10.11.2018,17:50,Al Feiha,Al-Ittihad FC,2,1
173,09.11.2018,18:20,Al Ahli SC,Al Qadisiya,0,2
174,08.11.2018,18:15,Ohod,Al-Hazem,3,3
175,08.11.2018,17:50,Al-Faisaly,Al-Shabab,0,0
176,08.11.2018,17:45,Al Batin,Al-Fateh,2,2
177,06.11.2018,17:55,Al-Hilal,Al-Ettifaq,4,1
178,03.11.2018,17:55,Al-Nassr,Al Ahli SC,0,2
179,02.11.2018,18:20,Ohod,Al-Taawon,1,0
180,02.11.2018,17:35,Al Qadisiya,Al-Hilal,0,2
181,01.11.2018,19:50,Al-Ittihad FC,Al-Raed,1,2
182,01.11.2018,18:25,Al Wehda,Al-Shabab,0,1
183,01.11.2018,18:00,Al Batin,Al-Hazem,1,0
184,01.11.2018,18:00,Al-Faisaly,Al-Ettifaq,5,1
185,01.11.2018,17:35,Al-Fateh,Al Feiha,1,2
186,26.10.2018,19:45,Al Feiha,Al-Nassr,1,1
187,26.10.2018,18:25,Ohod,Al Wehda,1,3
188,26.10.2018,18:10,Al Batin,Al-Taawon,0,5
189,26.10.2018,18:05,Al-Shabab,Al Qadisiya,2,1
190,25.10.2018,20:30,Al-Hilal,Al-Ittihad FC,3,1
191,25.10.2018,18:30,Al Ahli SC,Al-Fateh,5,1
192,25.10.2018,17:40,Al-Ettifaq,Al-Hazem,1,0
193,24.10.2018,18:05,Al-Faisaly,Al-Raed,2,0
194,20.10.2018,19:45,Al-Shabab,Al-Hilal,0,1
195,20.10.2018,17:50,Al-Ettifaq,Al Ahli SC,6,2
196,19.10.2018,20:00,Al-Ittihad FC,Ohod,1,1
197,19.10.2018,18:15,Al-Raed,Al-Fateh,0,3
198,19.10.2018,18:10,Al Batin,Al-Nassr,0,2
199,19.10.2018,18:10,Al-Faisaly,Al-Taawon,1,4
200,18.10.2018,18:35,Al Wehda,Al Feiha,2,1
201,18.10.2018,18:15,Al-Hazem,Al Qadisiya,2,1
202,06.10.2018,18:05,Al Qadisiya,Al Wehda,0,1
203,05.10.2018,20:40,Al-Nassr,Al-Hazem,5,1
204,05.10.2018,18:50,Al Ahli SC,Al-Faisaly,2,0
205,05.10.2018,18:45,Ohod,Al Batin,0,1
206,05.10.2018,18:25,Al-Taawon,Al-Shabab,1,1
207,04.10.2018,18:20,Al Feiha,Al-Raed,0,3
208,04.10.2018,18:05,Al-Fateh,Al-Ittihad FC,2,0
209,29.09.2018,20:35,Al Ahli SC,Al Batin,2,0
210,28.09.2018,18:35,Al-Raed,Al-Shabab,1,1
211,28.09.2018,18:30,Al Feiha,Al Qadisiya,4,2
212,27.09.2018,18:35,Al-Hazem,Al-Faisaly,2,1
213,27.09.2018,18:10,Al-Ettifaq,Ohod,0,0
214,26.09.2018,20:35,Al-Ittihad FC,Al Wehda,2,2
215,24.09.2018,20:10,Al-Nassr,Al-Taawon,1,0
216,24.09.2018,18:10,Al-Fateh,Al-Hilal,2,3
217,22.09.2018,19:00,Al Wehda,Al-Raed,4,1
218,21.09.2018,20:35,Al Ahli SC,Al-Hazem,2,0
219,21.09.2018,18:35,Al-Faisaly,Ohod,2,0
220,21.09.2018,18:15,Al-Ettifaq,Al Feiha,3,0
221,20.09.2018,20:45,Al-Hilal,Al Batin,3,1
222,20.09.2018,18:45,Al-Taawon,Al-Ittihad FC,5,3
223,20.09.2018,18:30,Al-Shabab,Al-Fateh,1,1
224,19.09.2018,20:20,Al Qadisiya,Al-Nassr,0,3
225,15.09.2018,20:45,Al-Ittihad FC,Al Qadisiya,0,3
226,15.09.2018,18:50,Al-Raed,Al-Hilal,1,3
227,14.09.2018,20:30,Ohod,Al Ahli SC,0,2
228,14.09.2018,18:45,Al Feiha,Al-Shabab,1,3
229,14.09.2018,18:40,Al-Nassr,Al-Faisaly,2,1
230,13.09.2018,18:50,Al-Hazem,Al-Taawon,1,1
231,13.09.2018,18:30,Al-Fateh,Al Wehda,0,0
232,13.09.2018,18:25,Al-Ettifaq,Al Batin,3,2
233,01.09.2018,19:20,Al Ahli SC,Al-Taawon,1,1
234,31.08.2018,19:00,Al-Faisaly,Al Batin,2,2
235,31.08.2018,18:55,Al-Shabab,Al-Ittihad FC,1,0
236,31.08.2018,18:55,Al-Hilal,Al Feiha,1,0
237,31.08.2018,18:40,Al Qadisiya,Al-Fateh,0,0
238,30.08.2018,19:15,Ohod,Al-Nassr,1,2
239,30.08.2018,19:05,Al-Hazem,Al Wehda,0,0
240,30.08.2018,18:40,Al-Ettifaq,Al-Raed,1,1
